start_dt	starter	conflict_msgs	total_msgs	source	start_text
2024-03-28T15:21:41+01:00	zeno	2	12	messages107.html#577894	i turned it off for a sec and it sounded like shit
2024-04-15T17:02:28+01:00	zeno	2	9	messages108.html#580033	ah shit
2024-06-06T22:08:31+01:00	zeno	2	9	messages115.html#589035	you need to absolutely fuck me tomorrow
2024-06-17T22:26:49+01:00	zeno	3	13	messages118.html#592362	and then also fuck you
2024-06-18T22:41:49+01:00	zeno	2	8	messages119.html#592834	i want to be able to greet you home by dramatically lying naked on the couch
2024-06-18T22:52:45+01:00	zeno	2	13	messages119.html#592863	if i use nomo i can't see shit
2024-07-05T20:59:20+01:00	zeno	2	13	messages122.html#597102	omg there's a boy petting the shit out of his puppy
2024-07-07T13:36:30+01:00	zeno	2	13	messages123.html#597444	I'm exhausted and I can't think honestly fuck that
2024-07-14T09:08:21+01:00	zeno	2	9	messages124.html#598742	i might be stupid
2024-07-20T08:39:02+01:00	kon	2	10	messages125.html#599957	I know it's probably dumb, but are you using three correct phone number?
2024-07-20T11:21:12+01:00	kon	2	11	messages125.html#600130	Holy shit
2024-07-23T22:38:03+01:00	kon	2	8	messages126.html#600716	What the fuck 😭
2024-07-28T09:14:24+01:00	kon	2	11	messages126.html#601300	Also, you didn't understand because we never talked about it
2024-07-31T20:23:19+01:00	kon	2	8	messages127.html#601995	Fuck sweet cakes
2024-08-02T14:33:44+01:00	kon	2	11	messages127.html#602624	What the fuck does that mean 😭
2024-08-24T16:18:11+01:00	zeno	2	13	messages131.html#606573	but I'm dreaming of a dumb phone tbh
2024-09-13T19:54:04+01:00	zeno	2	11	messages134.html#610085	the universal instinct to lose your shit when you play in a balls pool
2024-09-19T12:41:10+01:00	zeno	2	12	messages135.html#611304	gaslight him into thinking it's the standard procedure
2024-10-01T20:38:07+01:00	zeno	2	13	messages137.html#613799	for a second i thought you said you wanted to make love to me and my genuine reaction was what the fuck ew
2024-10-11T20:27:27+01:00	zeno	2	9	messages139.html#615431	i just spilled ink on my fucking monitor
2024-10-14T15:36:59+01:00	kon	2	10	messages139.html#615859	I think fuck it and I am staying home longer
2024-10-15T10:07:43+01:00	zeno	2	11	messages140.html#616109	I'm not stupid
2024-10-27T18:24:35+01:00	zeno	2	8	messages141.html#617664	it's just that i felt so incredibly stupid
2024-12-04T20:25:39+01:00	kon	4	19	messages145.html#623009	Fuck trying to sell plates for 2k
2025-02-23T20:24:19+01:00	kon	2	13	messages156.html#636627	This fucking guy
2025-04-06T21:08:21+01:00	kon	2	11	messages157.html#641190	what the fuck blake
2025-04-13T20:15:57+01:00	zeno	2	11	messages158.html#642682	yeah no shit
2025-04-20T12:25:47+01:00	zeno	2	13	messages158.html#643377	when possibol can u tell me if I'm stupid? thanks
2025-06-25T21:48:11+01:00	zeno	2	10	messages166.html#656518	well you never know,!
2025-07-28T23:42:40+01:00	zeno	3	11	messages170.html#662926	FUCK
2025-09-17T22:19:58+01:00	kon	2	8	messages174.html#672520	We are peace otherwise I wouldn’t send such stupid message
2025-09-28T21:07:55+01:00	kon	2	11	messages176.html#674857	but because I am an idiot
2025-11-15T09:50:31+01:00	zeno	2	13	messages180.html#682239	and i felt like you thought i was stupid
2025-11-30T12:03:40+01:00	zeno	2	8	messages182.html#686176	i feel stupid because this is not the first time that during a talk you say there's no attachment and romantice
